%# Station Name        Ft. Pierce Inlet
%# Station ID          FPI0901             
%# Orientation         Up (Bottom Mounted)
%# Time Zone           UTC            
%# Approx. Depth       6.6ft / 2.01m  
%# Blank rows indicate missing data. See our data
%# disclaimer online.
%#
%# Date      Time        Speed (knots) Dir (true)
2008 11 28 18 35 00      3.04          82
2008 11 28 18 45 00      3.04          82
2008 11 28 18 55 00      2.99          83
2008 11 28 19 05 00      2.90          82
2008 11 28 19 15 00      3.00          83
2008 11 28 19 25 00      2.96          82
2008 11 28 19 35 00      2.94          83
2008 11 28 19 45 00      2.86          82
2008 11 28 19 55 00      2.77          82
2008 11 28 20 05 00      2.70          81
2008 11 28 20 15 00      2.56          81
2008 11 28 20 25 00      2.37          82
2008 11 28 20 35 00      2.23          83
2008 11 28 20 45 00      2.11          82
2008 11 28 20 55 00      1.99          82
2008 11 28 21 05 00      1.87          81
2008 11 28 21 15 00      1.67          81
2008 11 28 21 25 00      1.67          81
2008 11 28 21 35 00      1.63          80
2008 11 28 21 45 00      1.43          79
2008 11 28 21 55 00      1.32          79
2008 11 28 22 05 00      1.14          79
2008 11 28 22 15 00      0.96          80
2008 11 28 22 25 00      0.69          84
2008 11 28 22 35 00      0.37          91
2008 11 28 22 45 00      0.06         179
2008 11 28 22 55 00      0.28         260
2008 11 28 23 05 00      0.53         265
2008 11 28 23 15 00      0.85         260
2008 11 28 23 25 00      1.25         258
2008 11 28 23 35 00      1.48         255
2008 11 28 23 45 00      1.74         259
2008 11 28 23 55 00      1.95         259
2008 11 29 00 05 00      2.07         260
2008 11 29 00 15 00      2.08         259
2008 11 29 00 25 00      1.91         259
2008 11 29 00 35 00      2.02         259
2008 11 29 00 45 00      2.09         259
2008 11 29 00 55 00      2.13         259
2008 11 29 01 05 00      2.04         260
2008 11 29 01 15 00      2.00         260
2008 11 29 01 25 00      1.96         260
2008 11 29 01 35 00      1.89         258
2008 11 29 01 45 00      1.75         259
2008 11 29 01 55 00      1.71         259
2008 11 29 02 05 00      1.63         259
2008 11 29 02 15 00      1.46         259
2008 11 29 02 25 00      1.39         260
2008 11 29 02 35 00      1.21         261
2008 11 29 02 45 00      1.11         258
2008 11 29 02 55 00      0.92         258
2008 11 29 03 05 00      0.74         259
2008 11 29 03 15 00      0.44         253
2008 11 29 03 25 00      0.21         254
2008 11 29 03 35 00      0.08          57
2008 11 29 03 45 00      0.37          83
2008 11 29 03 55 00      0.79          78
2008 11 29 04 05 00      1.14          80
2008 11 29 04 15 00      1.58          80
2008 11 29 04 25 00      1.86          80
2008 11 29 04 35 00      2.09          80
2008 11 29 04 45 00      2.23          81
2008 11 29 04 55 00      2.44          82
2008 11 29 05 05 00      2.48          82
2008 11 29 05 15 00      2.63          83
2008 11 29 05 25 00      2.46          81
2008 11 29 05 35 00      2.64          81
2008 11 29 05 45 00      2.69          81
2008 11 29 05 55 00      2.74          83
2008 11 29 06 05 00      2.77          83
2008 11 29 06 15 00      2.79          82
2008 11 29 06 25 00      2.81          82
2008 11 29 06 35 00      2.83          83
2008 11 29 06 45 00      2.83          83
2008 11 29 06 55 00      2.84          82
2008 11 29 07 05 00      2.86          82
2008 11 29 07 15 00      2.92          82
2008 11 29 07 25 00      2.84          82
2008 11 29 07 35 00      2.70          82
2008 11 29 07 45 00      2.62          82
2008 11 29 07 55 00      2.53          81
2008 11 29 08 05 00      2.48          81
2008 11 29 08 15 00      2.36          82
2008 11 29 08 25 00      2.25          82
2008 11 29 08 35 00      2.09          81
2008 11 29 08 45 00      2.02          80
2008 11 29 08 55 00      1.86          80
2008 11 29 09 05 00      1.62          77
2008 11 29 09 15 00      1.27          76
2008 11 29 09 25 00      0.93          80
2008 11 29 09 35 00      0.84          84
2008 11 29 09 45 00      0.68          94
2008 11 29 09 55 00      0.32         100
2008 11 29 10 05 00      0.05         256
2008 11 29 10 15 00      0.42         276
2008 11 29 10 25 00      0.76         258
2008 11 29 10 35 00      0.97         254
2008 11 29 10 45 00      1.77         256
2008 11 29 10 55 00      2.13         260
2008 11 29 11 05 00      2.26         259
2008 11 29 11 15 00      2.42         259
2008 11 29 11 25 00      2.54         258
2008 11 29 11 35 00      2.62         258
2008 11 29 11 45 00      2.71         258
2008 11 29 11 55 00      2.80         259
2008 11 29 12 05 00      2.87         259
2008 11 29 12 15 00      2.92         259
2008 11 29 12 25 00      2.95         259
2008 11 29 12 35 00      3.03         259
2008 11 29 12 45 00      3.15         259
2008 11 29 12 55 00      3.05         259
2008 11 29 13 05 00      3.05         259
2008 11 29 13 15 00      3.06         258
2008 11 29 13 25 00      2.97         259
2008 11 29 13 35 00      2.91         258
2008 11 29 13 45 00      2.92         259
2008 11 29 13 55 00      2.94         258
2008 11 29 14 05 00      2.91         258
2008 11 29 14 15 00      2.83         259
2008 11 29 14 25 00      2.81         259
2008 11 29 14 35 00      2.65         258
2008 11 29 14 45 00      2.59         259
2008 11 29 14 55 00      2.54         259
2008 11 29 15 05 00      2.38         258
2008 11 29 15 15 00      2.16         259
2008 11 29 15 25 00      1.94         259
2008 11 29 15 35 00      1.85         259
2008 11 29 15 45 00      1.62         258
2008 11 29 15 55 00      1.43         260
2008 11 29 16 05 00      1.21         258
2008 11 29 16 15 00      0.98         259
2008 11 29 16 25 00      0.68         254
2008 11 29 16 35 00      0.38         259
2008 11 29 16 45 00      0.05         216
2008 11 29 16 55 00      0.37          78
2008 11 29 17 05 00      0.90          79
2008 11 29 17 15 00      1.41          80
2008 11 29 17 25 00      1.75          80
2008 11 29 17 35 00      2.16          80
2008 11 29 17 45 00      2.46          79
2008 11 29 17 55 00      2.65          81
2008 11 29 18 05 00      2.65          81
2008 11 29 18 15 00      2.76          81
2008 11 29 18 25 00      2.63          81
2008 11 29 18 35 00      2.89          81
2008 11 29 18 45 00      3.01          81
2008 11 29 18 55 00      3.15          81
2008 11 29 19 05 00      3.00          82
2008 11 29 19 15 00      3.03          83
2008 11 29 19 25 00      2.96          82
2008 11 29 19 35 00      2.92          83
2008 11 29 19 45 00      2.96          82
2008 11 29 19 55 00      2.99          83
2008 11 29 20 05 00      3.10          81
2008 11 29 20 15 00      2.90          83
2008 11 29 20 25 00      2.74          82
2008 11 29 20 35 00      2.73          82
2008 11 29 20 45 00      2.45          82
2008 11 29 20 55 00      2.39          81
2008 11 29 21 05 00      2.35          81
2008 11 29 21 15 00      2.27          81
2008 11 29 21 25 00      2.15          82
2008 11 29 21 35 00      2.17          82
2008 11 29 21 45 00      2.01          82
2008 11 29 21 55 00      1.91          83
2008 11 29 22 05 00      1.63          82
2008 11 29 22 15 00      1.42          85
2008 11 29 22 25 00      1.21          83
2008 11 29 22 35 00      1.00          85
2008 11 29 22 45 00      0.81          84
2008 11 29 22 55 00      0.65          86
2008 11 29 23 05 00      0.47          91
2008 11 29 23 15 00      0.21         101
2008 11 29 23 25 00      0.07         247
2008 11 29 23 35 00      0.26         270
2008 11 29 23 45 00      0.42         270
2008 11 29 23 55 00      0.72         261
2008 11 30 00 05 00      1.02         259
2008 11 30 00 15 00      1.39         255
2008 11 30 00 25 00      1.81         260
2008 11 30 00 35 00      1.94         259
2008 11 30 00 45 00      2.06         260
2008 11 30 00 55 00      2.06         258
2008 11 30 01 05 00      2.04         260
2008 11 30 01 15 00      2.07         259
2008 11 30 01 25 00      2.02         258
2008 11 30 01 35 00      1.98         259
2008 11 30 01 45 00      1.90         259
2008 11 30 01 55 00      1.96         259
2008 11 30 02 05 00      1.89         258
2008 11 30 02 15 00      1.84         260
2008 11 30 02 25 00      1.76         259
2008 11 30 02 35 00      1.71         259
2008 11 30 02 45 00      1.75         260
2008 11 30 02 55 00      1.58         259
2008 11 30 03 05 00      1.46         258
2008 11 30 03 15 00      1.32         260
2008 11 30 03 25 00      1.13         258
2008 11 30 03 35 00      0.97         259
2008 11 30 03 45 00      0.76         258
2008 11 30 03 55 00      0.47         261
2008 11 30 04 05 00      0.14         259
2008 11 30 04 15 00      0.21          72
2008 11 30 04 25 00      0.52          76
2008 11 30 04 35 00      0.90          79
2008 11 30 04 45 00      1.44          80
2008 11 30 04 55 00      1.68          78
2008 11 30 05 05 00      1.85          79
2008 11 30 05 15 00      2.01          79
2008 11 30 05 25 00      2.13          80
2008 11 30 05 35 00      2.18          80
2008 11 30 05 45 00      2.32          82
2008 11 30 05 55 00      2.43          81
2008 11 30 06 05 00      2.21          82
2008 11 30 06 15 00      2.45          83
2008 11 30 06 25 00      2.54          82
2008 11 30 06 35 00      2.60          82
2008 11 30 06 45 00      2.68          82
2008 11 30 06 55 00      2.71          82
2008 11 30 07 05 00      2.82          82
2008 11 30 07 15 00      2.81          82
2008 11 30 07 25 00      2.73          81
2008 11 30 07 35 00      2.61          81
2008 11 30 07 45 00      2.59          81
2008 11 30 07 55 00      2.55          80
2008 11 30 08 05 00      2.50          81
2008 11 30 08 15 00      2.47          80
2008 11 30 08 25 00      2.31          80
2008 11 30 08 35 00      2.29          81
2008 11 30 08 45 00      2.17          82
2008 11 30 08 55 00      2.09          80
2008 11 30 09 05 00      1.90          80
2008 11 30 09 15 00      1.83          80
2008 11 30 09 25 00      1.72          81
2008 11 30 09 35 00      1.57          80
2008 11 30 09 45 00      1.32          81
2008 11 30 09 55 00      1.11          83
2008 11 30 10 05 00      0.83          87
2008 11 30 10 15 00      0.54          92
2008 11 30 10 25 00      0.37          96
2008 11 30 10 35 00      0.08         168
2008 11 30 10 45 00      0.34         253
2008 11 30 10 55 00      0.66         260
2008 11 30 11 05 00      0.91         260
2008 11 30 11 15 00      1.26         255
2008 11 30 11 25 00      1.90         257
2008 11 30 11 35 00      2.01         259
2008 11 30 11 45 00      2.17         259
2008 11 30 11 55 00      2.29         259
2008 11 30 12 05 00      2.39         258
2008 11 30 12 15 00      2.46         258
2008 11 30 12 25 00      2.60         258
2008 11 30 12 35 00      2.67         258
2008 11 30 12 45 00      2.49         257
2008 11 30 12 55 00      2.73         259
2008 11 30 13 05 00      2.69         258
2008 11 30 13 15 00      2.74         258
2008 11 30 13 25 00      2.73         258
2008 11 30 13 35 00      2.73         258
2008 11 30 13 45 00      2.85         259
2008 11 30 13 55 00      2.84         259
2008 11 30 14 05 00      2.86         258
2008 11 30 14 15 00      2.82         258
2008 11 30 14 25 00      2.85         258
2008 11 30 14 35 00      2.75         258
2008 11 30 14 45 00      2.74         258
2008 11 30 14 55 00      2.63         258
2008 11 30 15 05 00      2.54         258
2008 11 30 15 15 00      2.44         258
2008 11 30 15 25 00      2.39         259
2008 11 30 15 35 00      2.21         258
2008 11 30 15 45 00      2.10         259
2008 11 30 15 55 00      1.94         259
2008 11 30 16 05 00      1.80         258
2008 11 30 16 15 00      1.73         258
2008 11 30 16 25 00      1.52         258
2008 11 30 16 35 00      1.22         259
2008 11 30 16 45 00      0.88         259
2008 11 30 16 55 00      0.54         259
2008 11 30 17 05 00      0.14         240
2008 11 30 17 15 00      0.18          84
2008 11 30 17 25 00      0.66          79
2008 11 30 17 35 00      1.34          80
2008 11 30 17 45 00      1.80          81
2008 11 30 17 55 00      2.07          79
2008 11 30 18 05 00      2.18          79
2008 11 30 18 15 00      2.33          80
2008 11 30 18 25 00      2.40          80
2008 11 30 18 35 00      2.48          82
2008 11 30 18 45 00      2.62          81
2008 11 30 18 55 00      2.76          79
2008 11 30 19 05 00      2.81          80
2008 11 30 19 15 00      2.87          80
2008 11 30 19 25 00      2.85          79
2008 11 30 19 35 00      3.00          81
2008 11 30 19 45 00      2.96          80
2008 11 30 19 55 00      3.05          81
2008 11 30 20 05 00      3.01          80
2008 11 30 20 15 00      2.89          80
2008 11 30 20 25 00      2.76          81
2008 11 30 20 35 00      2.68          81
2008 11 30 20 45 00      2.74          81
2008 11 30 20 55 00      2.77          80
2008 11 30 21 05 00      2.79          80
2008 11 30 21 15 00      2.76          79
2008 11 30 21 25 00      2.73          79
2008 11 30 21 35 00      2.71          80
2008 11 30 21 45 00      2.54          80
2008 11 30 21 55 00      2.25          79
2008 11 30 22 05 00      2.27          79
2008 11 30 22 15 00      2.23          80
2008 11 30 22 25 00      1.99          80
2008 11 30 22 35 00      2.12          80
2008 11 30 22 45 00      2.53          81
2008 11 30 22 55 00      2.25          81
2008 11 30 23 05 00      1.84          81
2008 11 30 23 15 00      1.32          83
2008 11 30 23 25 00      1.23          82
2008 11 30 23 35 00      1.38          85
2008 11 30 23 45 00      1.37          84
2008 11 30 23 55 00      1.13          85
2008 12 01 00 05 00      0.79          84
2008 12 01 00 15 00      0.26          87
2008 12 01 00 25 00      0.24          78
2008 12 01 00 35 00      0.06          80
2008 12 01 00 45 00      0.30         257
2008 12 01 00 55 00      0.83         263
2008 12 01 01 05 00      1.58         259
2008 12 01 01 15 00      2.02         260
2008 12 01 01 25 00      2.00         262
2008 12 01 01 35 00      1.96         261
2008 12 01 01 45 00      1.78         260
2008 12 01 01 55 00      1.66         259
2008 12 01 02 05 00      1.57         258
2008 12 01 02 15 00      1.72         257
2008 12 01 02 25 00      1.73         257
2008 12 01 02 35 00      1.64         257
2008 12 01 02 45 00      1.83         258
2008 12 01 02 55 00      1.92         259
2008 12 01 03 05 00      1.93         259
2008 12 01 03 15 00      1.81         258
2008 12 01 03 25 00      1.66         260
2008 12 01 03 35 00      1.62         259
2008 12 01 03 45 00      1.47         259
2008 12 01 03 55 00      1.14         259
2008 12 01 04 05 00      0.79         257
2008 12 01 04 15 00      0.47         258
2008 12 01 04 25 00      0.34         249
2008 12 01 04 35 00      0.22         248
2008 12 01 04 45 00      0.05         181
2008 12 01 04 55 00      0.26          83
2008 12 01 05 05 00      0.75          81
2008 12 01 05 15 00      1.09          81
2008 12 01 05 25 00      1.21          81
2008 12 01 05 35 00      1.54          81
2008 12 01 05 45 00      1.74          80
2008 12 01 05 55 00      1.80          79
2008 12 01 06 05 00      2.01          81
2008 12 01 06 15 00      2.22          80
2008 12 01 06 25 00      2.26          82
2008 12 01 06 35 00      2.24          82
2008 12 01 06 45 00      2.39          80
2008 12 01 06 55 00      2.61          81
2008 12 01 07 05 00      2.68          80
2008 12 01 07 15 00      2.72          81
2008 12 01 07 25 00      2.83          81
2008 12 01 07 35 00      2.71          80
2008 12 01 07 45 00      2.64          81
2008 12 01 07 55 00      2.55          80
2008 12 01 08 05 00      2.50          80
2008 12 01 08 15 00      2.38          81
2008 12 01 08 25 00      2.25          80
2008 12 01 08 35 00      2.25          79
2008 12 01 08 45 00      2.32          79
2008 12 01 08 55 00      2.37          79
2008 12 01 09 05 00      2.37          80
2008 12 01 09 15 00      2.32          80
2008 12 01 09 25 00      2.22          79
2008 12 01 09 35 00      2.15          79
2008 12 01 09 45 00      2.01          80
2008 12 01 09 55 00      1.79          80
2008 12 01 10 05 00      1.61          82
2008 12 01 10 15 00      1.36          82
2008 12 01 10 25 00      1.18          82
2008 12 01 10 35 00      1.04          84
2008 12 01 10 45 00      1.08          85
2008 12 01 10 55 00      0.93          87
2008 12 01 11 05 00      0.59          90
2008 12 01 11 15 00      0.21          93
2008 12 01 11 25 00      0.06         235
2008 12 01 11 35 00      0.33         257
2008 12 01 11 45 00      0.67         261
2008 12 01 11 55 00      0.95         258
2008 12 01 12 05 00      1.59         258
2008 12 01 12 15 00      2.04         260
2008 12 01 12 25 00      2.33         261
2008 12 01 12 35 00      2.38         259
2008 12 01 12 45 00      2.47         259
2008 12 01 12 55 00      2.74         260
2008 12 01 13 05 00      2.75         258
2008 12 01 13 15 00      2.79         259
2008 12 01 13 25 00      2.65         258
2008 12 01 13 35 00      2.76         258
2008 12 01 13 45 00      2.85         257
2008 12 01 13 55 00      2.92         258
2008 12 01 14 05 00      2.74         257
2008 12 01 14 15 00      2.63         259
2008 12 01 14 25 00      2.70         256
2008 12 01 14 35 00      2.64         258
2008 12 01 14 45 00      2.77         257
2008 12 01 14 55 00      2.79         257
2008 12 01 15 05 00      2.66         258
2008 12 01 15 15 00      2.77         257
2008 12 01 15 25 00      2.76         257
2008 12 01 15 35 00      2.83         257
2008 12 01 15 45 00      2.90         257
2008 12 01 15 55 00      2.68         257
2008 12 01 16 05 00      2.54         257
2008 12 01 16 15 00      2.31         257
2008 12 01 16 25 00      2.10         257
2008 12 01 16 35 00      1.78         258
2008 12 01 16 45 00      1.69         257
2008 12 01 16 55 00      1.45         258
2008 12 01 17 05 00      1.26         260
2008 12 01 17 15 00      1.00         256
2008 12 01 17 25 00      0.66         255
2008 12 01 17 35 00      0.44         254
2008 12 01 17 45 00      0.32         252
2008 12 01 17 55 00      0.26         262
2008 12 01 18 05 00      0.04         288
2008 12 01 18 15 00      0.33          72
2008 12 01 18 25 00      0.84          80
2008 12 01 18 35 00      1.56          81
2008 12 01 18 45 00      2.15          80
2008 12 01 18 55 00      2.33          81
2008 12 01 19 05 00      2.41          81
2008 12 01 19 15 00      2.74          80
2008 12 01 19 25 00      2.72          80
2008 12 01 19 35 00      2.69          78
2008 12 01 19 45 00      2.74          79
2008 12 01 19 55 00      2.74          82
2008 12 01 20 05 00      2.67          82
2008 12 01 20 15 00      2.70          82
2008 12 01 20 25 00      2.65          82
2008 12 01 20 35 00      2.69          82
2008 12 01 20 45 00      2.75          82
2008 12 01 20 55 00      2.85          82
2008 12 01 21 05 00      2.74          81
2008 12 01 21 15 00      2.54          82
2008 12 01 21 25 00      2.55          81
2008 12 01 21 35 00      2.46          81
2008 12 01 21 45 00      2.44          81
2008 12 01 21 55 00      2.49          83
2008 12 01 22 05 00      2.42          82
2008 12 01 22 15 00      2.34          81
2008 12 01 22 25 00      2.16          82
2008 12 01 22 35 00      2.15          82
2008 12 01 22 45 00      1.99          82
2008 12 01 22 55 00      1.81          81
2008 12 01 23 05 00      1.78          81
2008 12 01 23 15 00      1.67          77
2008 12 01 23 25 00      1.49          81
2008 12 01 23 35 00      1.54          81
2008 12 01 23 45 00      1.53          80
2008 12 01 23 55 00      1.54          80
2008 12 02 00 05 00      1.56          80
2008 12 02 00 15 00      1.57          80
2008 12 02 00 25 00      1.31          80
2008 12 02 00 35 00      0.99          83
2008 12 02 00 45 00      0.55          86
2008 12 02 00 55 00      0.19          91
2008 12 02 01 05 00      0.15         271
2008 12 02 01 15 00      0.53         263
2008 12 02 01 25 00      0.84         260
2008 12 02 01 35 00      1.10         257
2008 12 02 01 45 00      1.18         256
2008 12 02 01 55 00      1.48         257
2008 12 02 02 05 00      1.62         259
2008 12 02 02 15 00      1.74         259
2008 12 02 02 25 00      1.72         258
2008 12 02 02 35 00      1.79         259
2008 12 02 02 45 00      1.90         259
2008 12 02 02 55 00      1.97         257
2008 12 02 03 05 00      2.06         258
2008 12 02 03 15 00      2.05         259
2008 12 02 03 25 00      1.99         258
2008 12 02 03 35 00      1.93         258
2008 12 02 03 45 00      1.74         258
2008 12 02 03 55 00      1.62         258
2008 12 02 04 05 00      1.57         258
2008 12 02 04 15 00      1.42         259
2008 12 02 04 25 00      1.37         260
2008 12 02 04 35 00      1.30         258
2008 12 02 04 45 00      1.11         258
2008 12 02 04 55 00      0.96         258
2008 12 02 05 05 00      0.75         259
2008 12 02 05 15 00      0.52         256
2008 12 02 05 25 00      0.23         256
2008 12 02 05 35 00      0.01         102
2008 12 02 05 45 00      0.39          76
2008 12 02 05 55 00      0.76          76
2008 12 02 06 05 00      1.18          79
2008 12 02 06 15 00      1.43          79
2008 12 02 06 25 00      1.63          79
2008 12 02 06 35 00      1.84          79
2008 12 02 06 45 00      2.12          80
2008 12 02 06 55 00      2.39          82
2008 12 02 07 05 00      2.39          80
2008 12 02 07 15 00      2.54          80
2008 12 02 07 25 00      2.51          80
2008 12 02 07 35 00      2.53          81
2008 12 02 07 45 00      2.48          83
2008 12 02 07 55 00      2.52          81
2008 12 02 08 05 00      2.53          82
2008 12 02 08 15 00      2.62          82
2008 12 02 08 25 00      2.63          81
2008 12 02 08 35 00      2.65          81
2008 12 02 08 45 00      2.65          81
2008 12 02 08 55 00      2.62          81
2008 12 02 09 05 00      2.48          78
2008 12 02 09 15 00      2.53          79
2008 12 02 09 25 00      2.38          80
2008 12 02 09 35 00      2.32          80
2008 12 02 09 45 00      2.25          79
2008 12 02 09 55 00      2.15          78
2008 12 02 10 05 00      2.11          78
2008 12 02 10 15 00      2.07          77
2008 12 02 10 25 00      2.03          77
2008 12 02 10 35 00      1.90          77
2008 12 02 10 45 00      1.89          78
2008 12 02 10 55 00      1.81          79
2008 12 02 11 05 00      1.70          80
2008 12 02 11 15 00      1.53          80
2008 12 02 11 25 00      1.25          82
2008 12 02 11 35 00      1.01          86
2008 12 02 11 45 00      0.63          96
2008 12 02 11 55 00      0.22          94
2008 12 02 12 05 00      0.10          98
2008 12 02 12 15 00      0.09         126
2008 12 02 12 25 00      0.13         234
2008 12 02 12 35 00      0.30         255
2008 12 02 12 45 00      0.45         258
2008 12 02 12 55 00      0.63         260
2008 12 02 13 05 00      0.94         260
2008 12 02 13 15 00      1.90         261
2008 12 02 13 25 00      2.32         261
2008 12 02 13 35 00      2.42         261
2008 12 02 13 45 00      2.59         260
2008 12 02 13 55 00      2.13         259
2008 12 02 14 05 00      1.90         259
2008 12 02 14 15 00      1.91         260
2008 12 02 14 25 00      2.12         260
2008 12 02 14 35 00      2.66         259
2008 12 02 14 45 00      2.73         259
2008 12 02 14 55 00      2.71         259
2008 12 02 15 05 00      2.90         259
2008 12 02 15 15 00      3.10         259
2008 12 02 15 25 00      2.93         260
2008 12 02 15 35 00      2.69         258
2008 12 02 15 45 00      2.57         258
2008 12 02 15 55 00      2.38         258
2008 12 02 16 05 00      2.18         258
2008 12 02 16 15 00      2.16         258
2008 12 02 16 25 00      2.12         258
2008 12 02 16 35 00      2.06         257
2008 12 02 16 45 00      2.18         258
2008 12 02 16 55 00      2.17         258
2008 12 02 17 05 00      2.25         258
2008 12 02 17 15 00      2.12         257
2008 12 02 17 25 00      1.81         258
2008 12 02 17 35 00      1.53         259
2008 12 02 17 45 00      1.22         259
2008 12 02 17 55 00      1.02         261
2008 12 02 18 05 00      0.84         263
2008 12 02 18 15 00      0.60         266
2008 12 02 18 25 00      0.39         267
2008 12 02 18 35 00      0.10         305
2008 12 02 18 45 00      0.26          66
2008 12 02 18 55 00      0.54          73
2008 12 02 19 05 00      0.95          80
2008 12 02 19 15 00      1.40          79
2008 12 02 19 25 00      1.82          77
2008 12 02 19 35 00      2.11          79
2008 12 02 19 45 00      2.19          81
2008 12 02 19 55 00      2.25          81
2008 12 02 20 05 00      2.29          81
2008 12 02 20 15 00      2.46          78
2008 12 02 20 25 00      2.48          78
2008 12 02 20 35 00      2.58          79
2008 12 02 20 45 00      2.52          81
2008 12 02 20 55 00      2.46          81
2008 12 02 21 05 00      2.50          82
2008 12 02 21 15 00      2.56          82
2008 12 02 21 25 00      2.61          81
2008 12 02 21 35 00      2.68          80
2008 12 02 21 45 00      2.69          81
2008 12 02 21 55 00      2.61          81
2008 12 02 22 05 00      2.59          81
2008 12 02 22 15 00      2.54          81
2008 12 02 22 25 00      2.47          80
2008 12 02 22 35 00      2.36          80
2008 12 02 22 45 00      2.23          81
2008 12 02 22 55 00      2.16          80
2008 12 02 23 05 00      2.19          78
2008 12 02 23 15 00      2.25          78
2008 12 02 23 25 00      2.16          78
2008 12 02 23 35 00      2.03          79
2008 12 02 23 45 00      1.84          82
2008 12 02 23 55 00      1.62          88
2008 12 03 00 05 00      1.38          89
2008 12 03 00 15 00      1.22          82
2008 12 03 00 25 00      1.02          79
2008 12 03 00 35 00      0.68          80
2008 12 03 00 45 00      0.42          87
2008 12 03 00 55 00      0.27          69
2008 12 03 01 05 00      0.07          97
2008 12 03 01 15 00      0.13         252
2008 12 03 01 25 00      0.27         280
2008 12 03 01 35 00      0.55         256
2008 12 03 01 45 00      0.74         256
2008 12 03 01 55 00      0.84         259
2008 12 03 02 05 00      1.45         255
2008 12 03 02 15 00      1.77         262
2008 12 03 02 25 00      2.02         260
2008 12 03 02 35 00      2.07         260
2008 12 03 02 45 00      2.08         260
2008 12 03 02 55 00      2.05         259
2008 12 03 03 05 00      2.03         258
2008 12 03 03 15 00      2.01         259
2008 12 03 03 25 00      2.00         258
2008 12 03 03 35 00      1.97         259
2008 12 03 03 45 00      1.96         258
2008 12 03 03 55 00      2.00         259
2008 12 03 04 05 00      1.91         258
2008 12 03 04 15 00      1.89         258
2008 12 03 04 25 00      1.91         258
2008 12 03 04 35 00      1.86         258
2008 12 03 04 45 00      1.73         257
2008 12 03 04 55 00      1.63         259
2008 12 03 05 05 00      1.53         259
2008 12 03 05 15 00      1.46         259
2008 12 03 05 25 00      1.38         259
2008 12 03 05 35 00      1.16         259
2008 12 03 05 45 00      1.16         260
2008 12 03 05 55 00      1.02         262
2008 12 03 06 05 00      0.77         264
2008 12 03 06 15 00      0.54         261
2008 12 03 06 25 00      0.24         275
2008 12 03 06 35 00      0.13          36
2008 12 03 06 45 00      0.36          68
2008 12 03 06 55 00      0.69          73
2008 12 03 07 05 00      1.01          79
2008 12 03 07 15 00      1.37          80
2008 12 03 07 25 00      1.61          78
2008 12 03 07 35 00      1.91          80
2008 12 03 07 45 00      1.97          79
2008 12 03 07 55 00      2.00          78
2008 12 03 08 05 00      2.10          78
2008 12 03 08 15 00      2.11          78
2008 12 03 08 25 00      2.30          79
2008 12 03 08 35 00      2.47          81
2008 12 03 08 45 00      2.46          81
2008 12 03 08 55 00      2.41          81
2008 12 03 09 05 00      2.42          81
2008 12 03 09 15 00      2.45          79
2008 12 03 09 25 00      2.43          79
2008 12 03 09 35 00      2.40          78
2008 12 03 09 45 00      2.37          79
2008 12 03 09 55 00      2.26          78
2008 12 03 10 05 00      2.21          79
2008 12 03 10 15 00      2.21          80
2008 12 03 10 25 00      2.13          82
2008 12 03 10 35 00      2.06          84
2008 12 03 10 45 00      1.94          85
2008 12 03 10 55 00      1.80          85
2008 12 03 11 05 00      1.69          85
2008 12 03 11 15 00      1.50          83
2008 12 03 11 25 00      1.43          80
2008 12 03 11 35 00      1.27          79
2008 12 03 11 45 00      1.15          77
2008 12 03 11 55 00      0.99          75
2008 12 03 12 05 00      0.79          84
2008 12 03 12 15 00      0.62          77
2008 12 03 12 25 00      0.42          72
2008 12 03 12 35 00      0.20          36
2008 12 03 12 45 00      0.11         314
2008 12 03 12 55 00      0.30         261
2008 12 03 13 05 00      0.36         253
2008 12 03 13 15 00      0.65         257
2008 12 03 13 25 00      1.19         257
2008 12 03 13 35 00      1.48         258
2008 12 03 13 45 00      1.85         263
2008 12 03 13 55 00      2.17         261
2008 12 03 14 05 00      2.28         260
2008 12 03 14 15 00      2.38         260
2008 12 03 14 25 00      2.46         260
2008 12 03 14 35 00      2.46         258
2008 12 03 14 45 00      2.53         258
2008 12 03 14 55 00      2.54         258
2008 12 03 15 05 00      2.62         258
2008 12 03 15 15 00      2.66         258
2008 12 03 15 25 00      2.65         257
2008 12 03 15 35 00      2.71         257
2008 12 03 15 45 00      2.68         257
2008 12 03 15 55 00      2.68         257
2008 12 03 16 05 00      2.59         257
2008 12 03 16 15 00      2.61         257
2008 12 03 16 25 00      2.54         256
2008 12 03 16 35 00      2.40         257
2008 12 03 16 45 00      2.35         257
2008 12 03 16 55 00      2.34         257
2008 12 03 17 05 00      2.29         257
2008 12 03 17 15 00      2.18         258
2008 12 03 17 25 00      2.03         257
2008 12 03 17 35 00      2.01         259
2008 12 03 17 45 00      1.90         258
2008 12 03 17 55 00      1.82         258
2008 12 03 18 05 00      1.70         258
2008 12 03 18 15 00      1.57         258
2008 12 03 18 25 00      1.37         257
2008 12 03 18 35 00      1.13         257
2008 12 03 18 45 00      0.92         258
2008 12 03 18 55 00      0.61         267
2008 12 03 19 05 00      0.34         258
2008 12 03 19 15 00      0.09         353
2008 12 03 19 25 00      0.43          71
2008 12 03 19 35 00      0.79          73
2008 12 03 19 45 00      1.18          80
2008 12 03 19 55 00      1.69          79
